Number replicate;cycle;fungicide;Region;Actinospora megalospora;Alatospora acuminata;Alatospora constricta;Alatospora pulchella;Alatospora sp.;Anguillaspora sp.;Anguillospora filiformis;Anguillospora furtiva;Anguillospora fustiformis;Anguillospora longissima;Anguillospora rosea;Anguillospora sp.;Articulospora tetracladia;Clavariopsis aquatica;Cylindrocarpon aquatica;Cylindrocarpon sp.;Filosporella sp.;Flagellospora curvula;Flagellospora fusaroides;Flagellospora penicillioides;Flagellospora sp.;Fontanospora eccentrica;Fusarium sp.;Geniculospora inflata;Heliscus lugdunensis;Heliscus tentaculus;Infundibura sp.;Lemoniera cornuta;Lemonniera sp. 1;Lemonniera 2;Lemonniera aquatica;Lemonniera sp. 2;Lemonniera terrestris;Unknown 1;Unknown 2;Unknown 3;Unknown 4;Mycocentrospora clavata;Mycocentrospora sp. ;Neonectria lugdunensis;Sigmoida Aurantiaca;Stenocladiella neglecta;Unknown 5;Tetrachaetum elegans;Tetracladium furcatum;Tetracladium marchalianum;Tetracladium setigerum;Tetracladium sp.;Tricladium angulatum;Tricladium attentatum;Tricladium attenuatum;Tricladium chaetocladium;Tricladium curvisporum;Tricladium sp.;Tricladium splendens;Tumularia aquatica;Unkown 7;Varicosporium elodeae;Ypsiliana graminea
6;2;control;DK;0;155.1793926;0;0;0;0;0;3.978958785;0;11.93687636;0;0;3.978958785;0;0;0;0;31.83167028;0;0;0;3.978958785;0;0;0;0;0;0;0;0;0;11.93687636;0;0;0;0;15.91583514;0;0;0;0;0;19.89479393;11.93687636;0;23.87375271;0;3.978958785;3.978958785;0;0;0;31.83167028;0;0;0;0;0;0
7;2;control;DK;0;510.4954711;0;0;0;0;0;0;0;12.05894814;0;0;8.039298758;0;0;0;0;12.05894814;0;0;0;0;0;0;12.05894814;0;0;0;0;8.039298758;0;140.6877283;0;4.019649379;0;0;4.019649379;32.15719503;0;0;4.019649379;0;0;4.019649379;0;56.27509131;4.019649379;0;48.23579255;0;0;0;253.2379109;0;0;0;0;0;0
1;2;TU-1;DK;0;355.6645123;0;0;0;0;0;0;0;0;0;0;3.666644456;0;0;0;0;10.99993337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.666644456;0;43.99973348;43.99973348;0;0;0;0;0;36.66644456;0;0;491.3303571;0;18.33322228;0;0;0;0;128.332556;0;0;0;0;0;0
2;2;TU-1;DK;0;141.5950877;0;3.218070175;0;0;0;0;0;0;0;0;6.436140351;0;0;0;0;9.654210526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.218070175;0;67.57947368;3.218070175;0;0;0;0;0;9.654210526;0;0;16.09035088;0;0;0;0;0;0;51.48912281;0;0;0;0;0;0
3;2;TU-1;DK;0;293.5067844;0;14.08832565;0;0;0;0;0;0;0;0;4.696108551;0;0;0;0;4.696108551;7.044162826;0;0;0;0;0;0;0;0;0;0;0;0;2.348054275;0;14.08832565;0;44.61303123;18.7844342;2.348054275;0;0;0;0;23.48054275;0;0;119.750768;4.696108551;4.696108551;7.044162826;0;0;0;166.7118536;0;0;0;0;0;0
4;2;TU-1;DK;0;60.9552;0;3.3864;0;0;0;0;0;5.0796;0;0;0;0;0;0;0;1.6932;1.6932;0;0;0;0;0;0;0;0;0;0;1.6932;0;3.3864;0;0;0;32.1708;0;0;0;0;0;0;13.5456;0;0;82.9668;5.0796;8.466;15.2388;0;0;0;277.6848;0;0;0;0;0;0
5;2;TU-1;DK;0;546.0599581;0;15.38197065;0;0;7.690985325;0;0;30.7639413;0;0;0;0;0;0;0;23.07295597;0;0;0;0;0;0;0;0;0;0;0;3.845492662;0;169.2016771;0;0;3.845492662;7.690985325;0;3.845492662;0;0;0;0;3.845492662;0;0;273.029979;3.845492662;3.845492662;11.53647799;0;0;0;111.5192872;0;0;0;0;0;0
6;2;TU-1;DK;0;326.6109712;0;0;0;0;0;0;0;17.32027878;0;0;4.948651079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.422976619;0;37.11488309;0;0;2.47432554;64.33246403;0;7.422976619;0;0;0;0;9.897302158;0;0;32.16623201;0;2.47432554;0;0;0;0;150.9338579;0;0;0;0;0;0
7;2;TU-1;DK;0;63.34273381;0;0;0;0;0;0;0;13.85622302;0;0;0;0;0;0;0;3.958920863;0;0;0;0;0;0;5.938381295;0;0;0;0;1.979460432;0;27.71244604;0;0;7.917841727;75.2194964;1.979460432;31.67136691;0;0;0;0;11.87676259;0;0;23.75352518;0;3.958920863;9.897302158;0;0;0;197.9460432;0;0;0;0;0;0
1;3;control;DK;0;811.371232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216.3656619;0;0;0;9.015235911;0;18.03047182;0;9.015235911;288.4875491;0;9.015235911;63.10665138;0;0;0;1325.239679;0;0;0;0;0;0
